name,rating,reviews,price_range,street,postal_code,nb_photos,Latitude,Longitude,Business_type
Margherita,4.0,89.0,[12 - 33],"Carrer del Rosselló, 253",08008 Barcelona,111,41.3953467,2.1592797000000004,restaurant
Bar Nolla,4.0,35.0,[34 - 66],"Carrer del Consell de Cent, 339",08007 Barcelona,178,41.3905679,2.1646678,restaurant
Casa Dorita,4.5,16.0,,"Carrer de Tamarit, 142",08015 Barcelona,13,41.377879899999996,2.1602392000000004,restaurant
Palmito Beach Bar,4.5,5.0,[12 - 33],"Carrer de Ramon Trias Fargas, 2",08005 Barcelona,8,41.3851321,2.1968292000000003,restaurant
Takumi Sapporo Ramen Kitchen,4.5,3.0,,"Via Laietana, 32",08003 Barcelona,6,41.385504,2.1772765,restaurant
Bosque Palermo,4.0,193.0,[12 - 33],"Carrer de València, 163",08011 Barcelona,363,41.388131099999995,2.1570433999999996,restaurant
Son Hao,4.5,8.0,,"Carrer de Muntaner, 66",08011 Barcelona,9,41.3870859,2.1590225,restaurant
Barceló Raval,4.5,56.0,[12 - 33],"Rambla del Raval, 17 - 21",08001 Barcelona,157,41.3790381,2.1695982999999996,hotel
Hotel 1898,4.5,76.0,[34 - 66],"La Rambla, 109",08002 Barcelona,156,41.38346729999999,2.1712016,hotel
W Barcelona,4.0,176.0,over 67,"Plaça de la Rosa dels Vents, 1",08039 Barcelona,464,41.3674464,2.1888016,hotel
Hotel Continental Barcelona,4.5,12.0,under 11,"Paseo la Rambla, 138",08002 Barcelona,8,41.385168900000004,2.1708087000000003,hotel
