,Pub names,Rating,Review count,Price range,Category,Neighbourhood,Location,Website
178,Gracia Latina,3.5,4,€€,Pubs,Gràcia,"Carrer de Càceres, 34--08028 Barcelona--Spain",
179,33/45,4.0,17,€,Pubs,El Raval,"Rosselló, 255--08008 Barcelona--Spain",http://www.nellosbar.com
180,33/45,4.0,17,€,Pubs,El Raval,"Calle Indústria, 135--08025 Barcelona--Spain",
181,Mil Estones,4.0,1,,Pubs,Sarrià - Sant Gervasi,Calle Valencia 194--08011 Barcelona--Spain,
182,Pesca Salada,4.5,12,€€,Cocktail Bars,El Raval,"Carrer de Castella, 1--08018 Barcelona--Spain",http://www.kaizenafterwork.com
183,Bar Dúrcal,5.0,1,,Pubs,Sants,"Carrer de París, 191--08036 Barcelona--Spain",
184,Nello’s,2.0,5,€€,Burgers,L'Eixample,"Carrer de Provença, 243--08008 Barcelona--Spain",
185,Armony Cocktails Gintonics,,,€€,Cocktail Bars,L'Eixample,"Carrer de Milans, 5--08002 Barcelona--Spain",http://www.manchesterbar.com
186,"3011 Hosteleria y Restauracion, S.C.P.",3.0,1,,Pubs,L'Eixample,"Carrer de Comte Borrell, 148--08015 Barcelona--Spain",
187,Kaizen Afterwork,5.0,1,€€,Cocktail Bars,Poblenou,"Carrer de Mandri, 60--08022 Barcelona--Spain",
