,name,rating,reviews,neighbourhood,price_range,street,postal_code
23,Hotel NH Collection Barcelona Gran Hotel Calderón,4,24,L'Eixample,[34 - 66],"Rambla de Catalunya, 26",08007 Barcelona
24,H10 Madison,5,16,Barri Gòtic,,"Carrer del Dr. Joaquim Pou, 2-4-6",08002 Barcelona
25,Claris,4,31,L'Eixample,[34 - 66],"Carrer Pau Claris, 150",08009 Barcelona
26,Alexandra Barcelona Hotel,4,45,L'Eixample,[34 - 66],"Carrer de Mallorca, 251",08008 Barcelona
27,Hilton Barcelona Hotel,3.5,46,Les Corts,[34 - 66],"Avinguda Diagonal, 589-591",08014 Barcelona
28,Hotel Duquesa de Cardona,4.5,32,Barri Gòtic,[34 - 66],"Passeig de Colom, 12",08002 Barcelona
29,Hotel Mercer,4.5,12,Barri Gòtic,[34 - 66],"Carrer dels Lledó, 7",08002 Barcelona
30,Casa Bonay,4.5,15,L'Eixample,[12 - 33],"Gran Via de Les Corts Catalanes, 700",08010 Barcelona
31,El Palace,4.5,20,L'Eixample,over 67,"Gran Via de les Corts Catalanes, 668",08010 Barcelona
32,Hotel Praktik,4.5,18,L'Eixample,[12 - 33],"Carrer de Provença, 279",08037 Barcelona
33,Hotel U232,4.5,29,L'Eixample,[12 - 33],"Carrer del Comte d'Urgell, 232",08036 Barcelona
34,Soho House,5,5,Barri Gòtic,over 67,"Plaça del Duc de Medinaceli, 4",08002 Barcelona
